aabc_id,sc_sm_id,bill_generate_date,auto_bill_type,auto_bill_period,bill_cycle,auto_due_date,auto_grace_period,send_email,send_sms,next_billing_date,next_bill_period,flag,is_active,auto_approve,is_reminder_email,created_by,created_on,updated_by,updated_on,deleted_by,deleted_on,is_deleted,send_whatsapp,sc_sm_name
5164,20351,2025-09-02,MAINTENANCE_CHARGES,8,1,15,0,1,0,2026-01-02,12,0,1,1,0,333569,"2025-08-13 06:22:36",NULL,"2025-12-02 00:05:09",NULL,NULL,0,1,"Patel Prestige"
5167,21508,2025-09-02,MAINTENANCE_CHARGES,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,390202,"2025-08-14 12:12:27",390202,"2025-12-02 00:05:11",NULL,NULL,0,1,"Shakuntal Dwarka"
5171,21095,2025-09-02,MAINTENANCE_CHARGES,9,1,8,0,1,0,2026-01-02,1,0,1,1,0,370645,"2025-08-14 13:01:09",370645,"2025-12-02 00:05:13",NULL,NULL,0,1,"MOUNTSCAPE CO OP HOUSING SOCIETY LTD C"
5184,21642,2025-09-02,MAINTENANCE_CHARGES,9,1,28,0,1,0,2026-01-02,1,0,1,1,0,404474,"2025-08-16 13:22:01",NULL,"2025-12-02 00:05:30",NULL,NULL,0,1,"The Woods Apartments Naubasta"
5194,21644,2025-09-02,MAINTENANCE_CHARGES,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,403253,"2025-08-17 10:35:19",NULL,"2025-12-02 00:05:39",NULL,NULL,0,1,"White Pelican"
5210,17431,2025-09-02,MAINTENANCE_CHARGES,9,1,18,0,1,0,2026-01-02,1,0,1,1,0,210232,"2025-08-19 11:31:03",NULL,"2025-12-02 00:05:43",NULL,NULL,0,1,"Nisarg Vatika Phase 2, Moshi"
5212,21208,2025-09-02,MAINTENANCE_CHARGES,9,1,29,0,1,0,2026-01-02,1,0,1,1,0,356739,"2025-08-19 11:45:44",NULL,"2025-12-02 00:06:04",NULL,NULL,0,1,"PARAKH CAPITAL"
5213,669,2025-09-02,MAINTENANCE_OTHER_CHARGES,9,1,14,0,1,0,2026-01-02,1,0,1,1,0,382083,"2025-08-19 11:59:48",NULL,"2025-12-02 00:06:08",NULL,NULL,0,1,"Fifth Avenue"
5231,3927,2025-09-02,INVOICE,9,1,18,5,1,0,2026-01-02,1,0,1,1,0,282659,"2025-08-22 06:55:28",404260,"2025-12-02 11:55:45",NULL,NULL,0,1,"KAILASH MANSAROVAR CHS LTD"
5238,21515,2025-09-02,MAINTENANCE_CHARGES,9,1,8,0,1,0,2026-01-02,1,0,1,1,0,381657,"2025-08-22 10:54:36",353391,"2025-12-02 00:06:19",NULL,NULL,0,1,"Rajyog Residency"
5241,20451,2025-09-02,MAINTENANCE_CHARGES,8,1,15,0,0,0,2026-01-02,12,0,1,0,0,401402,"2025-08-22 13:00:37",NULL,"2025-12-02 00:06:21",NULL,NULL,0,0,"RUDRA APARTMENT"
5249,13134,2025-09-02,MAINTENANCE_CHARGES,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,386548,"2025-08-23 13:26:24",NULL,"2025-12-02 00:06:28",NULL,NULL,0,1,"silvercity "
5281,7951,2025-09-02,MAINTENANCE_CHARGES,9,1,29,0,1,0,2026-01-02,1,0,1,1,0,330959,"2025-08-27 11:48:57",330959,"2025-12-02 00:06:33",NULL,NULL,0,1,"Atria A1 Wing"
5296,5510,2025-09-02,MAINTENANCE,8,1,13,0,1,0,2026-01-02,12,0,1,1,0,382419,"2025-08-29 06:01:57",NULL,"2025-12-02 00:06:42",NULL,NULL,0,1,"Rudram Sky"
5300,12697,2025-09-02,MAINTENANCE,9,1,13,1,1,0,2026-01-02,1,0,1,1,0,409170,"2025-08-29 07:05:10",NULL,"2025-12-02 00:06:44",NULL,NULL,0,1,"Shree Ganesh Laxmi Vihar, Lohegaon"
5306,8112,2025-09-02,MAINTENANCE_CHARGES,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,412571,"2025-08-29 07:48:36",NULL,"2025-12-02 00:06:47",NULL,NULL,0,1,"Bhagya Nagari Apartment"
5328,3544,2025-09-02,MAINTENANCE_BILL,8,1,9,0,1,0,2026-01-02,12,0,1,1,0,235628,"2025-08-29 11:12:51",NULL,"2025-12-02 00:07:25",NULL,NULL,0,1,"Matrusrinagar Residents Welfare Association"
5352,17271,2025-09-02,MAINTENANCE_CHARGES,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,360904,"2025-08-30 05:56:37",360904,"2025-12-02 00:07:30",NULL,NULL,0,1,"gagan tisha"
5360,1930,2025-09-02,MAINTENANCE_CHARGES_1_BHK,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,412859,"2025-08-30 09:53:59",NULL,"2025-12-02 00:07:34",NULL,NULL,0,1,"Indrayani IRA"
5361,1930,2025-09-02,MAINTENANCE_CHARGES_2_BHK,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,412859,"2025-08-30 09:54:30",NULL,"2025-12-02 00:07:37",NULL,NULL,0,1,"Indrayani IRA"
5427,13903,2025-09-02,MAINTENANCE_CHARGES,9,1,23,0,1,0,2026-01-02,1,0,1,1,0,409802,"2025-08-31 14:15:19",NULL,"2025-12-02 00:07:41",NULL,NULL,0,1,Westbrook
5430,18387,2025-09-02,MAINTENANCE_CHARGE,9,1,13,0,1,0,2026-01-02,1,0,1,1,0,243764,"2025-08-31 14:27:44",NULL,"2025-12-02 00:07:45",NULL,NULL,0,1,"Atulya Nirman Chs"
5434,18551,2025-09-02,MONTHLY_MAINTENANCE_CHARGES,9,1,29,0,1,0,2026-01-02,1,0,1,1,0,243743,"2025-08-31 14:44:00",NULL,"2025-12-02 00:07:49",NULL,NULL,0,1,"Shriram Paradise"
5485,1562,2025-10-02,MAINTENANCE_CHARGES,10,1,14,0,1,0,2026-01-02,1,0,1,1,0,329121,"2025-09-07 05:30:27",329121,"2025-12-02 00:07:53",NULL,NULL,0,1,"Mahaveer Desire"
5499,17702,2025-10-02,MAINTENANCE_CHARGE,10,1,8,8,0,0,2026-01-02,1,0,1,0,0,391120,"2025-09-13 07:07:56",391120,"2025-12-30 16:05:37",NULL,NULL,0,1,"C1A Block Janakpuri B wing"
5504,5437,2025-10-02,MONTHLY_MAINTENANCE_CHARGES,10,1,7,0,1,0,2026-01-02,1,0,1,1,0,332596,"2025-09-13 12:52:17",NULL,"2025-12-02 00:08:00",NULL,NULL,0,1,"Color Berry"
5562,19134,2025-10-02,MAINTENANCE_CHARGES,23,2,13,0,1,0,2026-01-02,24,0,1,1,0,286786,"2025-09-19 05:02:34",NULL,"2025-10-02 00:09:51",NULL,NULL,0,1,"Green Hive Plus A13"
5602,1125,2025-10-02,MAINTENANCE_CHARGES_B1_B2_J_AND_K_BUILDING_,10,1,28,0,1,0,2026-01-02,1,0,1,1,0,210746,"2025-09-20 13:14:47",NULL,"2025-12-02 00:08:11",NULL,NULL,0,1,"PANKAJ ASAMAN"
5611,21190,2025-10-02,MAINTENANCE_CHARGES,10,1,10,0,1,0,2026-01-02,1,0,1,1,0,391994,"2025-09-21 09:23:58",NULL,"2025-12-02 00:08:14",NULL,NULL,0,1,"RGHCL B Block Residents Welfare Association-Gulimangala"
5689,18917,2025-10-02,MAINTENANCE_CHARGES,23,2,8,0,1,0,2026-01-02,24,0,1,1,0,269820,"2025-09-28 16:03:02",NULL,"2025-10-02 00:10:28",NULL,NULL,0,1,"Paras Rivera"
5691,19484,2025-10-02,MAINTENANCE_CHARGES,23,2,29,0,1,0,2026-01-02,24,0,1,1,0,278300,"2025-09-28 17:27:18",NULL,"2025-10-02 00:10:30",NULL,NULL,0,1,"Namrata Crystal Park A wing"
5725,14618,2025-10-02,MAINTENANCE_CHARGES,10,1,13,0,1,0,2026-01-02,1,0,1,1,0,182572,"2025-09-30 11:18:59",NULL,"2025-12-02 00:08:19",NULL,NULL,0,1,"Aishwaryam Hamara A11"
5745,3787,2025-10-02,NON_OCCUPANCY_CHARGES,10,1,19,0,1,0,2026-01-02,1,0,1,1,0,411834,"2025-09-30 18:33:22",NULL,"2025-12-02 00:08:22",NULL,NULL,0,1,"Goodwill Palette"
5783,6902,2025-11-02,MAINTENANCE,11,1,13,0,1,0,2026-01-02,1,0,1,1,0,298462,"2025-10-02 14:56:15",NULL,"2025-12-02 00:08:23",NULL,NULL,0,1,"RPS Heritage CHS"
5794,14880,2025-11-02,MAINTENANCE_CHARGES,11,1,8,0,1,0,2026-01-02,1,0,1,1,0,60138,"2025-10-04 05:24:12",NULL,"2025-12-02 00:08:26",NULL,NULL,0,1,"Shree Ram Krishna Housing Society"
